,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
0,35,Ontario,Ontario,31-01-2020,3,0,0.0,3,,,,,3.0,300.0,0.02,0.0,0.0,0.0,,,100.0
1,59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0.0,1,,,,,1.0,100.0,0.02,0.0,0.0,0.0,,,100.0
2,1,Canada,Canada,31-01-2020,4,0,0.0,4,,,,,4.0,400.0,0.01,0.0,0.0,0.0,,,100.0
3,35,Ontario,Ontario,08-02-2020,3,0,0.0,3,,,,,0.0,0.0,0.02,0.0,0.0,0.0,,,100.0
4,59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0.0,4,,,,,3.0,300.0,0.08,0.0,0.0,0.0,,,100.0
5,1,Canada,Canada,08-02-2020,7,0,0.0,7,,,,,3.0,75.0,0.02,0.0,0.0,0.0,,,100.0
6,35,Ontario,Ontario,16-02-2020,3,0,0.0,3,,,,,0.0,0.0,0.02,0.0,0.0,0.0,,,100.0
7,59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0.0,5,,,,,1.0,25.0,0.1,0.0,0.0,0.0,,,100.0
8,1,Canada,Canada,16-02-2020,8,0,0.0,8,,,,,1.0,14.29,0.02,0.0,0.0,0.0,,,100.0
9,35,Ontario,Ontario,21-02-2020,3,0,0.0,3,,,,,0.0,0.0,0.02,0.0,0.0,0.0,,,100.0
10,59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0.0,6,,,,,1.0,20.0,0.12,0.0,0.0,0.0,,,100.0
11,1,Canada,Canada,21-02-2020,9,0,0.0,9,,,,,1.0,12.5,0.02,0.0,0.0,0.0,,,100.0
12,35,Ontario,Ontario,24-02-2020,4,0,0.0,4,,,,,1.0,33.33,0.03,0.0,0.0,0.0,,,100.0
13,59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0.0,6,,,,,0.0,0.0,0.12,0.0,0.0,0.0,,,100.0
14,1,Canada,Canada,24-02-2020,10,0,0.0,10,,,,,1.0,11.11,0.03,0.0,0.0,0.0,,,100.0
15,35,Ontario,Ontario,25-02-2020,4,0,0.0,4,,,,,0.0,0.0,0.03,0.0,0.0,0.0,,,100.0
16,59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0.0,7,,,,,1.0,16.67,0.14,0.0,0.0,0.0,,,100.0
17,1,Canada,Canada,25-02-2020,11,0,0.0,11,,,,,1.0,10.0,0.03,0.0,0.0,0.0,,,100.0
18,35,Ontario,Ontario,26-02-2020,5,0,0.0,5,,,,,1.0,25.0,0.03,0.0,0.0,0.0,,,100.0
19,59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0.0,7,,,,,0.0,0.0,0.14,0.0,0.0,0.0,,,100.0
20,1,Canada,Canada,26-02-2020,12,0,0.0,12,,,,,1.0,9.09,0.03,0.0,0.0,0.0,,,100.0
21,35,Ontario,Ontario,27-02-2020,6,0,0.0,6,,,,,1.0,20.0,0.04,0.0,0.0,0.0,,,100.0
22,59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0.0,7,,,,,0.0,0.0,0.14,0.0,0.0,0.0,,,100.0
23,1,Canada,Canada,27-02-2020,13,0,0.0,13,,,,,1.0,8.33,0.03,0.0,0.0,0.0,,,100.0
24,35,Ontario,Ontario,29-02-2020,8,0,0.0,8,,,,,2.0,33.33,0.05,0.0,0.0,0.0,,,100.0
25,59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0.0,7,,,,,0.0,0.0,0.14,0.0,0.0,0.0,,,100.0
26,1,Canada,Canada,29-02-2020,15,0,0.0,15,,,,,2.0,15.38,0.04,0.0,0.0,0.0,,,100.0
27,35,Ontario,Ontario,01-03-2020,15,0,0.0,15,,,,,7.0,87.5,0.1,0.0,0.0,0.0,,,100.0
28,59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0.0,8,,,,,1.0,14.29,0.16,0.0,0.0,0.0,,,100.0
29,24,Quebec,Québec,01-03-2020,1,0,0.0,1,,,,,1.0,100.0,0.01,0.0,0.0,0.0,,,100.0
30,1,Canada,Canada,01-03-2020,24,0,0.0,24,,,,,9.0,60.0,0.06,0.0,0.0,0.0,,,100.0
31,35,Ontario,Ontario,03-03-2020,20,0,0.0,20,,,,,5.0,33.33,0.14,0.0,0.0,0.0,,,100.0
32,59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0.0,12,,,,,4.0,50.0,0.24,0.0,0.0,0.0,,,100.0
33,24,Quebec,Québec,03-03-2020,1,0,0.0,1,,,,,0.0,0.0,0.01,0.0,0.0,0.0,,,100.0
34,1,Canada,Canada,03-03-2020,33,0,0.0,33,,,,,9.0,37.5,0.09,0.0,0.0,0.0,,,100.0
35,35,Ontario,Ontario,05-03-2020,22,0,0.0,22,,,,,2.0,10.0,0.15,0.0,0.0,0.0,,,100.0
36,59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0.0,21,,,,,9.0,75.0,0.41,0.0,0.0,0.0,,,100.0
37,24,Quebec,Québec,05-03-2020,2,0,0.0,2,,,,,1.0,100.0,0.02,0.0,0.0,0.0,,,100.0
38,1,Canada,Canada,05-03-2020,45,0,0.0,45,,,,,12.0,36.36,0.12,0.0,0.0,0.0,,,100.0
39,35,Ontario,Ontario,06-03-2020,28,0,0.0,28,,,,,6.0,27.27,0.19,0.0,0.0,0.0,,,100.0
40,59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0.0,21,,,,,0.0,0.0,0.41,0.0,0.0,0.0,,,100.0
41,24,Quebec,Québec,06-03-2020,2,0,0.0,2,,,,,0.0,0.0,0.02,0.0,0.0,0.0,,,100.0
42,1,Canada,Canada,06-03-2020,51,0,0.0,51,,,,,6.0,13.33,0.14,0.0,0.0,0.0,,,100.0
43,35,Ontario,Ontario,07-03-2020,28,0,0.0,28,,,,,0.0,0.0,0.19,0.0,0.0,0.0,,,100.0
44,59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0.0,27,,,,,6.0,28.57,0.53,0.0,0.0,0.0,,,100.0
45,24,Quebec,Québec,07-03-2020,2,0,0.0,2,,,,,0.0,0.0,0.02,0.0,0.0,0.0,,,100.0
46,1,Canada,Canada,07-03-2020,57,0,0.0,57,,,,,6.0,11.76,0.15,0.0,0.0,0.0,,,100.0
47,35,Ontario,Ontario,08-03-2020,31,0,0.0,31,,,,,3.0,10.71,0.21,0.0,0.0,0.0,,,100.0
48,59,British Columbia,Colombie-Britannique,08-03-2020,27,0,1.0,27,,,,,0.0,0.0,0.53,0.02,1.0,3.7,,,96.3
49,24,Quebec,Québec,08-03-2020,3,0,0.0,3,,,,,1.0,50.0,0.04,0.0,0.0,0.0,,,100.0
50,48,Alberta,Alberta,08-03-2020,1,0,0.0,1,,,,,1.0,100.0,0.02,0.0,0.0,0.0,,,100.0
51,1,Canada,Canada,08-03-2020,62,0,1.0,62,,,,,5.0,8.77,0.16,0.003,1.0,1.61,,,98.39
52,35,Ontario,Ontario,09-03-2020,34,0,0.0,34,,,,,3.0,9.68,0.23,0.0,0.0,0.0,,,100.0
53,59,British Columbia,Colombie-Britannique,09-03-2020,32,0,1.0,32,,,,,5.0,18.52,0.63,0.02,0.0,3.13,,,96.88
