date_recovered,province,cumulative_recovered,Unnamed: 3,Unnamed: 4,province_source,source
2020-06-18,Alberta,6938.0,,,Alberta,https://www.alberta.ca/covid-19-alberta-data.aspx
2020-06-17,Alberta,6893.0,,,BC,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/case-counts-press-statements
2020-06-16,Alberta,6882.0,,,Manitoba,https://www.gov.mb.ca/covid19/index.html
2020-06-15,Alberta,6862.0,,,New Brunswick,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html
2020-06-14,Alberta,6861.0,,,NL,https://www.gov.nl.ca/covid-19/
2020-06-13,Alberta,6830.0,,,Nova Scotia,https://novascotia.ca/coronavirus/#cases
2020-06-12,Alberta,6811.0,,,Nunavut,https://www.gov.nu.ca/
2020-06-11,Alberta,6788.0,,,NWT,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19
2020-06-10,Alberta,6754.0,,,Ontario,https://www.ontario.ca/page/2019-novel-coronavirus#section-0
2020-06-09,Alberta,6722.0,,,PEI,https://www.princeedwardisland.ca/en/topic/covid-19
2020-06-08,Alberta,6698.0,,,Quebec,https://www.msss.gouv.qc.ca/professionnels/maladies-infectieuses/coronavirus-2019-ncov/
2020-06-07,Alberta,6656.0,,,Saskatchewan,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan
2020-06-06,Alberta,6656.0,,,Yukon,https://yukon.ca/en/information-about-novel-coronavirus-yukoners
2020-06-05,Alberta,6624.0,,,,
2020-06-04,Alberta,6611.0,,,,
2020-06-03,Alberta,6587.0,,,,
2020-06-02,Alberta,6537.0,,,,
2020-06-01,Alberta,6501.0,,,,
2020-05-31,Alberta,6283.0,,,,
2020-05-30,Alberta,6245.0,,,,
2020-05-29,Alberta,6220.0,,,,
2020-05-28,Alberta,6160.0,,,,
2020-05-27,Alberta,6106.0,,,,
2020-05-26,Alberta,6048.0,,,,
2020-05-25,Alberta,5979.0,,,,
2020-05-24,Alberta,5924.0,,,,
2020-05-23,Alberta,5869.0,,,,
2020-05-22,Alberta,5801.0,,,,
2020-05-21,Alberta,5710.0,,,,
2020-05-20,Alberta,5637.0,,,,
2020-05-19,Alberta,5584.0,,,,
2020-05-18,Alberta,5519.0,,,,
2020-05-17,Alberta,5453.0,,,,
2020-05-16,Alberta,5377.0,,,,
2020-05-15,Alberta,5317.0,,,,
2020-05-14,Alberta,5205.0,,,,
2020-05-13,Alberta,5076.0,,,,
2020-05-12,Alberta,4866.0,,,,
2020-05-11,Alberta,4659.0,,,,
2020-05-10,Alberta,4389.0,,,,
2020-05-09,Alberta,4204.0,,,,
2020-05-08,Alberta,4020.0,,,,
2020-05-07,Alberta,3809.0,,,,
2020-05-06,Alberta,3552.0,,,,
2020-05-05,Alberta,3219.0,,,,
2020-05-04,Alberta,2942.0,,,,
2020-05-03,Alberta,2713.0,,,,
2020-05-02,Alberta,2534.0,,,,
2020-05-01,Alberta,2359.0,,,,
2020-04-30,Alberta,2161.0,,,,
2020-04-29,Alberta,1953.0,,,,
2020-04-28,Alberta,1800.0,,,,
2020-04-27,Alberta,1664.0,,,,
2020-04-26,Alberta,1549.0,,,,
2020-04-25,Alberta,1471.0,,,,
2020-04-24,Alberta,1397.0,,,,
2020-04-23,Alberta,1357.0,,,,
2020-04-22,Alberta,1310.0,,,,
2020-04-21,Alberta,1273.0,,,,
2020-04-20,Alberta,1230.0,,,,
2020-04-19,Alberta,1198.0,,,,
