Unnamed: 0,March 13th,March 14th,March 15th,March 16th,March 17th,March 18th,March 19th,March 20th,March 21st,March 22nd,March 23rd,March 24th,March 25th,March 26th,March 27th,March 28th,March 29th,March 30th,March 31st,April 1st,April 2nd,April 3rd,April 4th,April 5th,April 6th,April 7th,April 8th,April 9th,April 10th,April 11th,April 12th,April 13th,April 14th,April 15th,April 16th,April 17th,April 18th,April 19th,April 20th,April 21st,April 22nd,April 23rd,April 24th,April 25th,April 26th,April 27th,April 28th,April 29th,April 30th,May 1st,May 2nd,May 3rd,May 4th,May 5th,May 6th,May 7th,May 8th,May 9th,May 10th,May 11th,May 12th,May 13th,May 14th,May 15th,May 16th,May 17th,May 18th,May 19th,May 20th,May 21st,May 22nd,May 23rd,May 24th,May 25th,May 26th,May 27th,May 28th,May 29th,May 30th,May 31st,June 1st,June 2nd,June 3rd,June 04th
01-Bas-Saint-Laurent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,6.0,7.0,8.0,8.0,11.0,13.0,18.0,19.0,24.0,27.0,27.0,29.0,30.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.0,36.0,37.0,34.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,35.0,36.0,36.0,36.0,38.0,40.0,40.0,42.0,43.0,44.0,44.0,44.0,45.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
02- Saguenay-Lac-Saint-Jean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,8.0,11.0,16.0,18.0,18.0,24.0,31.0,32.0,32.0,44.0,55.0,79.0,93.0,103.0,118.0,123.0,135.0,142.0,149.0,161.0,170.0,175.0,202.0,204.0,214.0,226.0,239.0,244.0,249.0,257.0,261.0,266.0,266.0,273.0,273.0,278.0,279.0,281.0,287.0,290.0,297.0,298.0,299.0,299.0,300.0,301.0,303.0,304.0,305.0,307.0,309.0,310.0,310.0,315.0,317.0,317.0,317.0,317.0,318.0,318.0,320.0,320.0,320.0,320.0,321.0,320.0,320.0,321.0,321.0,321.0,321.0,321.0
03- Capitale-Nationale,0.0,0.0,2.0,2.0,3.0,8.0,10.0,10.0,13.0,13.0,33.0,79.0,95.0,103.0,106.0,148.0,164.0,174.0,213.0,247.0,270.0,280.0,309.0,345.0,357.0,375.0,392.0,412.0,427.0,440.0,444.0,480.0,511.0,528.0,551.0,569.0,586.0,599.0,615.0,630.0,647.0,658.0,682.0,720.0,762.0,775.0,789.0,801.0,835.0,867.0,890.0,917.0,938.0,961.0,986.0,1008.0,1027.0,1073.0,1095.0,1120.0,1137.0,1155.0,1170.0,1188.0,1206.0,1253.0,1266.0,1284.0,1298.0,1320.0,1354.0,1379.0,1412.0,1441.0,1471.0,1501.0,1532.0,1563.0,1588.0,1601.0,1615.0,1630.0,1642.0,1658.0
04-Mauricie,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,16.0,32.0,35.0,49.0,69.0,85.0,122.0,164.0,215.0,247.0,318.0,364.0,431.0,494.0,549.0,589.0,614.0,648.0,673.0,711.0,739.0,785.0,830.0,862.0,891.0,917.0,947.0,961.0,989.0,1015.0,1046.0,1086.0,1111.0,1107.0,1127.0,1155.0,1176.0,1202.0,1239.0,1285.0,1303.0,1332.0,1362.0,1392.0,1412.0,1450.0,1494.0,1537.0,1538.0,1588.0,1607.0,1625.0,1657.0,1685.0,1714.0,1755.0,1776.0,1805.0,1819.0,1840.0,1856.0,1871.0,1883.0,1896.0,1908.0,1920.0,1940.0,1953.0,1963.0,1972.0,1990.0,1990.0,1994.0,2003.0
05-Estrie,2.0,3.0,4.0,4.0,9.0,18.0,26.0,26.0,27.0,30.0,48.0,130.0,169.0,187.0,227.0,253.0,296.0,329.0,365.0,379.0,404.0,450.0,499.0,518.0,548.0,570.0,597.0,620.0,642.0,661.0,689.0,704.0,721.0,738.0,751.0,763.0,770.0,778.0,787.0,794.0,797.0,803.0,803.0,813.0,822.0,826.0,826.0,830.0,839.0,846.0,890.0,859.0,867.0,869.0,877.0,885.0,885.0,894.0,898.0,901.0,904.0,907.0,909.0,909.0,911.0,916.0,918.0,921.0,928.0,934.0,933.0,933.0,933.0,938.0,940.0,939.0,941.0,940.0,941.0,942.0,942.0,943.0,943.0,943.0
06-Montreal,7.0,8.0,10.0,18.0,22.0,24.0,28.0,31.0,41.0,46.0,265.0,439.0,603.0,782.0,971.0,1219.0,1361.0,1612.0,1991.0,2097.0,2642.0,2837.0,3261.0,3713.0,3977.0,4407.0,4775.0,5262.0,5617.0,5861.0,6088.0,6393.0,6628.0,6830.0,7281.0,7760.0,8052.0,8457.0,8964.0,9348.0,9856.0,10375.0,10897.0,11161.0,11621.0,12034.0,12487.0,12846.0,13324.0,13979.0,14599.0,16251.0,16606.0,16991.0,17442.0,17918.0,18435.0,18855.0,19197.0,19492.0,19878.0,20232.0,20633.0,21038.0,21410.0,22028.0,22317.0,22636.0,23064.0,23413.0,23696.0,23918.0,24116.0,24388.0,24611.0,24838.0,25043.0,25227.0,25437.0,25545.0,25652.0,25788.0,25900.0,26025.0
07-Outauais,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,8.0,12.0,13.0,16.0,18.0,26.0,28.0,38.0,50.0,64.0,75.0,81.0,85.0,109.0,117.0,129.0,130.0,131.0,141.0,157.0,169.0,172.0,180.0,181.0,191.0,192.0,202.0,209.0,214.0,219.0,219.0,229.0,236.0,246.0,252.0,266.0,270.0,272.0,274.0,288.0,293.0,302.0,304.0,312.0,318.0,322.0,326.0,334.0,337.0,346.0,354.0,360.0,366.0,367.0,381.0,404.0,426.0,432.0,450.0,472.0,479.0,483.0,494.0,505.0,518.0,527.0,532.0,538.0,536.0,537.0,539.0,547.0,548.0,548.0
08-Abititi-Temiscaminigue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,11.0,18.0,24.0,27.0,28.0,34.0,41.0,47.0,58.0,76.0,83.0,101.0,108.0,111.0,119.0,130.0,134.0,137.0,138.0,138.0,139.0,140.0,143.0,143.0,145.0,147.0,148.0,148.0,149.0,149.0,150.0,150.0,150.0,149.0,150.0,150.0,150.0,149.0,149.0,149.0,149.0,150.0,152.0,153.0,153.0,156.0,156.0,156.0,157.0,158.0,159.0,161.0,162.0,162.0,162.0,162.0,162.0,164.0,165.0,165.0,165.0,165.0,165.0,166.0,167.0,167.0,167.0,167.0,168.0,168.0,168.0
9-Cote-Nord,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,13.0,17.0,26.0,30.0,35.0,42.0,47.0,49.0,58.0,68.0,71.0,75.0,81.0,84.0,92.0,92.0,95.0,96.0,98.0,101.0,104.0,107.0,109.0,110.0,111.0,112.0,112.0,112.0,108.0,108.0,110.0,114.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,114.0,115.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
10-Nord-du-Quebec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
11- Gaspesie-Iles-de-la-Madelaine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,7.0,7.0,9.0,9.0,13.0,37.0,37.0,38.0,41.0,43.0,54.0,62.0,66.0,75.0,79.0,84.0,90.0,96.0,97.0,99.0,103.0,103.0,107.0,119.0,125.0,125.0,138.0,146.0,149.0,152.0,156.0,163.0,165.0,165.0,167.0,167.0,168.0,168.0,169.0,169.0,170.0,170.0,171.0,172.0,172.0,172.0,172.0,172.0,173.0,174.0,174.0,174.0,174.0,174.0,175.0,177.0,178.0,179.0,180.0,182.0,182.0,183.0,183.0,182.0,184.0,184.0,184.0,184.0,184.0,185.0,185.0
12-Chaudiere-Appalaches,1.0,1.0,3.0,4.0,4.0,6.0,6.0,6.0,13.0,13.0,15.0,14.0,46.0,58.0,73.0,80.0,86.0,95.0,117.0,130.0,133.0,136.0,139.0,156.0,158.0,181.0,195.0,207.0,222.0,230.0,247.0,272.0,286.0,291.0,293.0,304.0,316.0,329.0,333.0,341.0,346.0,349.0,355.0,367.0,374.0,378.0,382.0,384.0,387.0,394.0,396.0,399.0,406.0,410.0,411.0,416.0,420.0,425.0,427.0,432.0,433.0,437.0,440.0,445.0,450.0,470.0,481.0,481.0,483.0,483.0,484.0,485.0,486.0,488.0,491.0,493.0,493.0,494.0,497.0,499.0,500.0,500.0,503.0,504.0
13- Laval,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,21.0,60.0,83.0,95.0,130.0,160.0,180.0,257.0,272.0,338.0,411.0,476.0,569.0,640.0,712.0,759.0,831.0,897.0,1017.0,1108.0,1231.0,1268.0,1358.0,1455.0,1620.0,1772.0,1897.0,2029.0,2095.0,2199.0,2296.0,2411.0,2482.0,2589.0,2711.0,2852.0,2919.0,3025.0,3163.0,3277.0,3355.0,3449.0,3511.0,3604.0,3701.0,3822.0,3898.0,4018.0,4082.0,4233.0,4304.0,4362.0,4439.0,4516.0,4596.0,4760.0,4819.0,4894.0,4950.0,5002.0,5090.0,5129.0,5191.0,5224.0,5269.0,5314.0,5347.0,5387.0,5438.0,5456.0,5471.0,5488.0,5529.0,5550.0
